BACH. ESTATAL (COBACH), 07ECB,ESTATAL
BACH. FRAL. 3 AÑOS ,07DBP,FEDERAL
BACH. PARTICULAR ,07PBH,PARTICULAR
C.B.T.A FEDERAL,07DTA,FEDERAL
CAM ESTATAL,07EML,ESTATAL
CBTIS ESTATAL,07ECT,ESTATAL
CBTIS FEDERAL,07DCT,FEDERAL
CECATI FEDERAL,07DBT,FEDERAL
CECYTCH ESTATAL,07ETC,ESTATAL
CENDI FEDERAL,07NDI,FEDERAL
CETEM ,07DCM,ESTATAL
CONALEP ,07DPT,FEDERAL
CONALEP ,07XPT,ESTATAL
EDUCACION ESPECIAL ESTATAL,07DML,ESTATAL
EMSAT ESTATAL,07EMS,ESTATAL
ESC. DE ENF. ESTATAL (E.E.T) ,07EET,ESTATAL
MISIONES CULTURALES ,07HMC,FEDERAL
PREES. PARTICULAR ,07PJN,PARTICULAR
PREESCOLAR ESTATAL ,07EJN,ESTATAL
PREESCOLAR FEDERAL ,07DJN,FEDERAL
PREESCOLAR INDIGENA ,07DCC,FEDERAL
PREP. DEL ESTADO ,07EBH,ESTATAL
PRIM. INDIGENA FED. ,07DPB,FEDERAL
PRIM. PARTICULAR ,07PPR,PARTICULAR
PRIMARIA ESTATAL ,07EPR,ESTATAL
PRIMARIA FEDERAL ,07DPR,FEDERAL
SEC. ESTATAL ,07EES,ESTATAL
SEC. GRAL. FRAL. ,07DES,FEDERAL
SEC. PARA TRABAJ. FED.,07DSN,FEDERAL
SEC. PARTICULAR ,07PES,PARTICULAR
SEC. TECNICA FED. ,07DST,FEDERAL
TELEBACH. ESTATAL,07ETH,ESTATAL
TELESECU. ESTATAL,07ETV,ESTATAL
UNIV. ENFERMERIA ,07ESU,ESTATAL
