07DCI,PRIMARIA,FEDERAL,ALBERGUE INDIGENA FEDERAL TRANSFERIDO,ALBERGUE INDIGENA FEDERAL TRANSFERIDO
07EMS,BACHILLERATO,ESTATAL,BACHILLERATO GENERAL DE 3 AÑOS ESTATAL A DISTANCIA,BACHILLERATO GENERAL DE 3 AÑOS ESTATAL A DISTANCIA
07EBW,BACHILLERATO,ESTATAL,BACHILLERATO GENERAL DE 3 AÑOS ESTATAL INTERCULTURAL,BACHILLERATO GENERAL DE 3 AÑOS ESTATAL INTERCULTURAL
07EBH,BACHILLERATO,ESTATAL,BACHILLERATO GENERAL DE 3 AÑOS ESTATAL PREPARATORIA,BACHILLERATO GENERAL DE 3 AÑOS ESTATAL PREPARATORIA
07DBP,BACHILLERATO,FEDERAL,BACHILLERATO GENERAL DE 3 AÑOS FEDERAL,BACHILLERATO GENERAL DE 3 AÑOS FEDERAL
07PBH,BACHILLERATO,PARTICULAR,BACHILLERATO GENERAL DE 3 AÑOS PARTICULAR,BACHILLERATO GENERAL DE 3 AÑOS PARTICULAR
07EEX,BACHILLERATO,ESTATAL,BACHILLERATO NO ESCOLARIZADO NO PRESENCIAL SISTEMA ABIERTO,BACHILLERATO NO ESCOLARIZADO NO PRESENCIAL SISTEMA ABIERTO
07DTA,BACHILLERATO,FEDERAL,BACHILLERATO TECNOLOGICO AGROPECUARIO FEDERAL,BACHILLERATO TECNOLOGICO AGROPECUARIO FEDERAL
07DCM,BACHILLERATO,FEDERAL,BACHILLERATO TECNOLOGICO DEL MAR FEDERAL,BACHILLERATO TECNOLOGICO DEL MAR FEDERAL
07DCT,BACHILLERATO,FEDERAL,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS CBTI FEDERAL,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS CBTI FEDERAL
